admdong_cd,admdong_nm,signgu_cd,signgu_nm,shape
4111752000,매탄2동,41117,수원시 영통구,"MULTIPOLYGON (((127.04798708361295 37.27352054311571, 127.04959692488819 37.27338872286095, 127.05175834954689 37.27338603714218, 127.05289646537425 37.27319013660815, 127.05834010030915 37.271178728944136, 127.05818585223139 37.270662192857046, 127.05733268673698 37.26956846962406, 127.05830723866626 37.26863626283489, 127.05542493402841 37.26715187698688, 127.04929023671278 37.26865666181882, 127.04279597765138 37.2704899401234, 127.04335446696138 37.27149268690154, 127.04798708361295 37.27352054311571)))"
4113556000,정자2동,41135,성남시 분당구,"MULTIPOLYGON (((127.11659900616353 37.3716357746142, 127.11843097351698 37.370146870398564, 127.11969895839945 37.369545254398396, 127.12083410402988 37.36850336086896, 127.12457703512344 37.36515934578563, 127.12415932617836 37.364885933752774, 127.12338241438167 37.3640410548009, 127.12318983747546 37.363490532765745, 127.114792048058 37.36343765446709, 127.11478230749789 37.369711921024376, 127.11489796597202 37.37004843868255, 127.1153208658399 37.37072121234444, 127.11659900616353 37.3716357746142)))"
4113554500,정자동,41135,성남시 분당구,"MULTIPOLYGON (((127.11659900616353 37.3716357746142, 127.1153208658399 37.37072121234444, 127.11489796597202 37.37004843868255, 127.11478230749789 37.369711921024376, 127.114792048058 37.36343765446709, 127.1148946305929 37.35995461243721, 127.10893292947192 37.359947091984964, 127.10896018216188 37.35901298690147, 127.10910003232961 37.358671065279474, 127.10929169545129 37.3584821528826, 127.1098008908004 37.358169474174524, 127.11167558748302 37.35731907020646, 127.11120199997306 37.35676585892491, 127.10850949679563 37.35664087794333, 127.10810948757533 37.35983445528746, 127.10811545955859 37.36315047985373, 127.10810673182688 37.36579959128769, 127.1080762736818 37.372197032006866, 127.1084973936358 37.37286700119117, 127.11230028135908 37.37552784137497, 127.11659900616353 37.3716357746142)))"
4113357000,상대원1동,41133,성남시 중원구,"MULTIPOLYGON (((127.17854114409465 37.45446930809839, 127.17962215473979 37.45526298964661, 127.18032583293812 37.455483558150746, 127.18111152477661 37.455860687888546, 127.18245447301902 37.45664038559239, 127.18271691368017 37.45696602132183, 127.1830772046568 37.45716111229577, 127.18383113482805 37.4579941723367, 127.18366843295509 37.458241971486544, 127.18444702352838 37.45875700580674, 127.18597322642154 37.45824601542535, 127.18693336599247 37.45811013195537, 127.1874897562727 37.45820349615308, 127.18858654176643 37.45879277443848, 127.1909923752572 37.45735175653667, 127.19156538617855 37.457377634722874, 127.19136256046788 37.45705580562996, 127.19129399809626 37.4565991685492, 127.19087110248213 37.45604887741696, 127.19078536349038 37.45535052434228, 127.19161072152944 37.45529534088213, 127.19236901545511 37.455334306761756, 127.19250399553516 37.455428150649695, 127.19265352956913 37.454528097935416, 127.19298918780254 37.454057323379516, 127.19288705995098 37.45360102131478, 127.19355975912863 37.45308917915713, 127.19359206896377 37.45257916667279, 127.19459966511553 37.45130143334909, 127.19432873123999 37.45071051319149, 127.19429383986211 37.450307608577695, 127.19466211222779 37.44939383520818, 127.19472865320013 37.44901752643332, 127.19536819418262 37.44876112565192, 127.19522825364446 37.446786823678764, 127.19514339283157 37.44653169340619, 127.19541207761085 37.44620913300106, 127.19556141692475 37.445322026579525, 127.19572104185691 37.44505842048804, 127.1956061937183 37.44473437894577, 127.1959618002049 37.44387795790777, 127.19589626799014 37.44363197096153, 127.1954720833736 37.44313969321385, 127.19537324000453 37.44267327859393, 127.19424644101454 37.44084657101529, 127.19419556659666 37.439990765915944, 127.19365671213373 37.43916205149705, 127.19368744599855 37.43843576810036, 127.19357260260894 37.438046960468476, 127.19418526520853 37.43597133792123, 127.19388977988947 37.43490831006246, 127.19395352344937 37.434363593190106, 127.1937898003318 37.43392320408508, 127.19380491204569 37.43353415483629, 127.19404741044862 37.43301487114115, 127.19454446449325 37.43266401780812, 127.1932587841217 37.43236748312519, 127.19203673597251 37.432229621077646, 127.19166952479983 37.43232623408753, 127.19131001174718 37.432757984321974, 127.19085615186694 37.43280106385465, 127.19040855084896 37.43272197692987, 127.18960696589791 37.43242871152138, 127.18959587565762 37.43194993997232, 127.18701400834895 37.430799700471745, 127.18589114090126 37.43044056691477, 127.18532805290869 37.429679789436044, 127.18459980571683 37.42975981670141, 127.18448126783882 37.429587232756205, 127.18375202128273 37.42914067986892, 127.18278620117022 37.428694743590626, 127.18223340930528 37.42796556188871, 127.18219261623473 37.427495031073946, 127.18182781754716 37.42711068001417, 127.18119707922311 37.42679770161815, 127.18053740148189 37.42674357899039, 127.17974889350363 37.42632869305308, 127.17938506450342 37.42640783223241, 127.17915845451074 37.42636909217406, 127.17821410623885 37.42658217935938, 127.17746508044841 37.42620697432653, 127.17696323663384 37.426152801714366, 127.17612670990817 37.42622470213507, 127.17509291658509 37.42606094279949, 127.17478876900462 37.42649302949977, 127.17437481635599 37.4263448445257, 127.17396185511332 37.42655709624295, 127.17351899267885 37.426565833485945, 127.17315525028813 37.42666860638706, 127.17291885743613 37.426652877031614, 127.17277114829939 37.426535267633874, 127.17215066249125 37.42644983528194, 127.17191454901236 37.426505063781136, 127.1716888900975 37.426733260626854, 127.17137414487543 37.42687523055356, 127.17081317330938 37.426867923607475, 127.17039952855883 37.42685263644528, 127.16975843753193 37.42620218454876, 127.16897320166942 37.42607277827257, 127.16839611509205 37.42637453011276, 127.16793173948389 37.42644504246365, 127.16749286094199 37.426796192861694, 127.16662742511632 37.42711787198718, 127.16583778630346 37.42779994380059, 127.16041243281222 37.427687260425934, 127.15993863830727 37.42780948718729, 127.15883728828422 37.42838454992778, 127.15943954788543 37.42848963467111, 127.15940524349112 37.42906382706719, 127.15965217137119 37.42965465729577, 127.15940723891757 37.42996040940623, 127.15985565827278 37.42983518898437, 127.160214763154 37.429834921565686, 127.16112344696447 37.43070751991692, 127.16107173169276 37.43088061121812, 127.16061417281291 37.431160079488144, 127.1601907153716 37.43202267198969, 127.15990601494603 37.43351868778003, 127.15888292647908 37.43425593534769, 127.16029547629707 37.43424906767815, 127.1603393056937 37.43475172713515, 127.1608920957383 37.436797141029885, 127.1614913871923 37.43736512096375, 127.1643220668397 37.43730460137417, 127.16557945558716 37.43909928395363, 127.16749499970307 37.43982405461963, 127.16670612648197 37.44112731376879, 127.16834148419409 37.441774069416454, 127.16883170554871 37.44161024941783, 127.16916058554301 37.442177418103206, 127.16878465557728 37.442289103878586, 127.16889953873562 37.44263119183576, 127.17300330098948 37.44394283185978, 127.17307913145872 37.44436968083215, 127.1741362737786 37.444488005475534, 127.1743681082909 37.4449243902296, 127.1753302142053 37.44533657787241, 127.17543473241534 37.44575743115984, 127.17556283392115 37.446443702797836, 127.17597275595803 37.446873439088364, 127.17646372881073 37.447094239260394, 127.1769712871297 37.44744580916139, 127.1769559240349 37.4478494946934, 127.17723429014562 37.448005739216576, 127.1779113881964 37.45084656797167, 127.17858428824579 37.452005738635926, 127.17853800189958 37.45307487655163, 127.17866992754553 37.45354378620646, 127.17854114409465 37.45446930809839)))"
4127354500,원곡동,41273,안산시 단원구,"MULTIPOLYGON (((126.79084252566851 37.33920473655937, 126.79190583985704 37.34041456094043, 126.79282571491997 37.339855710320755, 126.79245336077803 37.33938899377396, 126.7929359847854 37.33937758181188, 126.79245093433002 37.338636584455884, 126.79345207134025 37.33806672978369, 126.79520614309982 37.33853342593555, 126.79643606396021 37.33823337535276, 126.79682749417489 37.338234536612646, 126.79785310748632 37.33849499551323, 126.79806943509227 37.33844143880488, 126.79821879410011 37.338053244623815, 126.79888223153034 37.33751539575359, 126.79926515524338 37.33578924057335, 126.79943161065879 37.33536742901867, 126.79956529101422 37.334212046022046, 126.80001467318458 37.33362753053911, 126.80007544018648 37.33328743212615, 126.79992238928635 37.33248900478431, 126.7999420651198 37.331960957375486, 126.7987851333096 37.331470540710626, 126.79875876962849 37.33122135402358, 126.79904427539236 37.330918452111376, 126.79938145223777 37.33027085194199, 126.7976085487527 37.32827278428549, 126.79653117895475 37.32936620643241, 126.79613418615162 37.33082301998861, 126.79572904541536 37.33060039397447, 126.79259794909092 37.32628734602137, 126.79528763697672 37.325046486597195, 126.79480083641931 37.324065570981226, 126.79289280996747 37.323965046771306, 126.79109229242418 37.322831056545816, 126.79003938973632 37.32299038180178, 126.78960391345164 37.3234325218818, 126.78926735756592 37.3231142736507, 126.78820384178633 37.322483918054694, 126.78741496962247 37.322317032926726, 126.7874109557108 37.3223254401988, 126.78662338969541 37.32447035098993, 126.78595536919472 37.326260560515905, 126.78589819822842 37.32654887744391, 126.78596479364795 37.32699051798508, 126.78602065684458 37.327134696337104, 126.78634653997908 37.32761278270848, 126.78656024448513 37.327874590565244, 126.78647991355054 37.32824376597699, 126.78628765124341 37.328468750905756, 126.7859938630467 37.32864820596491, 126.78674724621574 37.32955754894286, 126.78705222814301 37.32940580348883, 126.7871615385754 37.329427758976564, 126.78778929554433 37.330300330537206, 126.78931774863595 37.33228985173772, 126.79036380469701 37.333799116831806, 126.79063202761654 37.334446113593025, 126.79075827045813 37.33572353093067, 126.79083143992128 37.33663772736306, 126.7906562458668 37.33751390953417, 126.79048329448193 37.33824988667158, 126.7905921143712 37.33876572866198, 126.79084252566851 37.33920473655937)))"
4127355500,백운동,41273,안산시 단원구,"MULTIPOLYGON (((126.80572702248443 37.32934608697046, 126.80255969197493 37.32561749756367, 126.80541957837227 37.324103865308196, 126.80383970505487 37.322205262038075, 126.80537128906472 37.321471708338684, 126.80491114831754 37.32093825495148, 126.80488969628512 37.320310672541034, 126.80508082169914 37.320152661700064, 126.80492831326903 37.31994218892547, 126.80497935154818 37.31965774220201, 126.8044775617479 37.31848185846689, 126.80427596217004 37.31776460372619, 126.80450335842932 37.31723020214544, 126.80443565374709 37.31696370566989, 126.80417004786055 37.31672674705125, 126.80331643405043 37.31675360653177, 126.80313976716523 37.316666783770344, 126.80274069835274 37.316175613104306, 126.80050195811666 37.315599374335534, 126.79744409837701 37.31784806580912, 126.79739645662313 37.318050320657846, 126.79696830076834 37.31854662688982, 126.79557491256514 37.31841701916472, 126.7942141112386 37.31931662873075, 126.79512950132623 37.31999441943625, 126.79510909055955 37.32100903449165, 126.79156005139258 37.3220451477238, 126.79131644473631 37.32279279704626, 126.79109229242418 37.322831056545816, 126.79289280996747 37.323965046771306, 126.79480083641931 37.324065570981226, 126.79528763697672 37.325046486597195, 126.79259794909092 37.32628734602137, 126.79572904541536 37.33060039397447, 126.79613418615162 37.33082301998861, 126.79653117895475 37.32936620643241, 126.7976085487527 37.32827278428549, 126.79938145223777 37.33027085194199, 126.79904427539236 37.330918452111376, 126.79875876962849 37.33122135402358, 126.7987851333096 37.331470540710626, 126.7999420651198 37.331960957375486, 126.79992238928635 37.33248900478431, 126.80007544018648 37.33328743212615, 126.8004073558516 37.33299344465833, 126.80163110811107 37.33265272777875, 126.80294137606606 37.33301570293945, 126.80288971536109 37.33162529122948, 126.80224499542653 37.3313659127607, 126.80222170925181 37.331188843776495, 126.80572702248443 37.32934608697046)))"
4113165000,시흥동,41131,성남시 수정구,"MULTIPOLYGON (((127.11778605287363 37.42219840474055, 127.1179042001812 37.42118445151269, 127.11836513159477 37.42113776145641, 127.11841156416466 37.42130311710574, 127.11912157667128 37.421392313056955, 127.11915776358671 37.42122644690756, 127.11938194884185 37.42113631856635, 127.1196478301922 37.42077110750839, 127.11998387132157 37.41926599802547, 127.11933372200508 37.417410020139926, 127.11796182214765 37.41520850955455, 127.11776292675594 37.41488883693892, 127.11831068938497 37.41119006451882, 127.11759912117209 37.41039801334899, 127.11678538067437 37.40980117870542, 127.1149374768485 37.40865371676196, 127.11332253270407 37.408082406692046, 127.11110587929038 37.40765073046079, 127.10681303416028 37.407481014188164, 127.10582743066837 37.407991129482944, 127.10534903537261 37.40838511504812, 127.10453693725786 37.40864028900878, 127.10373917339665 37.40869901816953, 127.10233331858778 37.40969531813926, 127.10218821368674 37.40963790090984, 127.10207195023341 37.40944103577167, 127.10123004896745 37.40923359735947, 127.10035937908464 37.408863740216674, 127.09992313911405 37.40803087304881, 127.09974825264027 37.40745285625587, 127.09912454598657 37.40756863234591, 127.09812343382453 37.40751201585123, 127.09652719753134 37.40718897709582, 127.09472735032377 37.40639185894133, 127.09444700709949 37.40592791594585, 127.09426208736927 37.40551313311135, 127.0939862894668 37.40525872254703, 127.09291249008983 37.40508549356116, 127.09257819514539 37.40453046135959, 127.09219282046894 37.404436272945105, 127.09201227527373 37.40439208858042, 127.09008209505546 37.40369921353524, 127.08889162936917 37.402901620213015, 127.08881813141913 37.402149221070786, 127.08899087968805 37.40096901760738, 127.08887472686634 37.40073778596264, 127.0883518877633 37.40042570726015, 127.0876120787269 37.400368197745465, 127.0872207201786 37.40044965747744, 127.0866254608182 37.400114486977145, 127.0860588263153 37.39922368332721, 127.08566652365394 37.39877236957976, 127.08512980454346 37.39853000276738, 127.08482484600576 37.3982984364904, 127.08454867109678 37.39784745415863, 127.08463555106749 37.39758118244957, 127.08425772720636 37.397072532415336, 127.08401087152932 37.39696869009467, 127.08377907382346 37.39722313996974, 127.0821695805288 37.397722036096646, 127.08163346109677 37.39806929856935, 127.08092268919901 37.39815107583004, 127.07992235677807 37.398707042258856, 127.07851583286042 37.399112852288695, 127.07805148676356 37.39892846007982, 127.07736958796896 37.39887077425316, 127.07693439558459 37.39892876838725, 127.07652836589986 37.398824794171276, 127.07451103278196 37.39786573347261, 127.07382940756045 37.39795896016614, 127.07322061900764 37.39821381899171, 127.07044965967143 37.39786827586721, 127.06928943562329 37.39796166069342, 127.06866568543317 37.39811219178092, 127.06763566443425 37.397950902963096, 127.06666401456836 37.398263692765795, 127.06390859275315 37.398658690078676, 127.06347321073 37.39858935656445, 127.06305268687197 37.39865924213618, 127.06237100266418 37.398925856864984, 127.0611821336118 37.39970149763505, 127.06070364121335 37.3998058317439, 127.05926852432977 37.40102215023243, 127.05877553198364 37.40118436777494, 127.05816622350449 37.401276951384396, 127.05754259021121 37.40155526393917, 127.05671620158256 37.402099463868126, 127.05587525820268 37.402423905608316, 127.05539654808385 37.402458946420175, 127.05523677758171 37.40230843174541, 127.05475796404754 37.402239282730555, 127.05391705229789 37.402644807173445, 127.05237945566866 37.402818920100906, 127.05162529685587 37.4032009060501, 127.04975449858166 37.40365333888788, 127.04827495827762 37.403700024667515, 127.04762211097855 37.403827684304815, 127.0468966674478 37.40386239440971, 127.04636019574815 37.40374713053785, 127.04493841818068 37.40374749848967, 127.043700372495 37.40420606180271, 127.04296551791232 37.40512034276915, 127.04287894537578 37.40568337518455, 127.04239606979935 37.406960680132386, 127.04237259663914 37.40722461647378, 127.04279174704806 37.408240584216614, 127.04338805595191 37.40853825133093, 127.04395129557945 37.408938707408296, 127.04479846283037 37.40924684031889, 127.04502896988791 37.40963672299592, 127.0458552071681 37.41037212460311, 127.04659723591746 37.41062195504732, 127.04680207994684 37.41083704440927, 127.04692000101741 37.4115053494722, 127.0467837195988 37.41228818302865, 127.04705282490674 37.413060762943765, 127.04696004287446 37.413418754438176, 127.04675229878079 37.41359954856665, 127.04705536503086 37.41364141097737, 127.04859803830705 37.413531046003094, 127.05062401917908 37.413586168510776, 127.05223036016429 37.41329717895871, 127.05404688181567 37.41333367079865, 127.05565332360291 37.4131195377727, 127.05601424071344 37.4131933742949, 127.05665489145969 37.41348119125317, 127.0576097114941 37.41357327127129, 127.05846001904418 37.41428850185045, 127.05886778829264 37.414427468493685, 127.06011362727902 37.41451057701764, 127.0609752923714 37.4147139592064, 127.06151107768628 37.414750871188446, 127.06328159060934 37.41562316256441, 127.06417811666559 37.41589212489286, 127.0659845240017 37.4178318638344, 127.06619471208589 37.41830545821633, 127.0692713819418 37.42134038424691, 127.07134492295161 37.42248187818718, 127.07200873858984 37.42264871270164, 127.07273127297377 37.42309364646951, 127.07518750824825 37.422377360523065, 127.0772956684656 37.422979505215714, 127.07917133731418 37.423656394440606, 127.08052214410763 37.42383190161414, 127.08217581135136 37.423840227825025, 127.08240806698639 37.42346864800119, 127.08282713678682 37.4234121993283, 127.08318827937205 37.423560856403455, 127.08351482568051 37.42394127111367, 127.08372431171784 37.42393163010953, 127.08415493013146 37.423448383058876, 127.08434068431295 37.42306742891687, 127.084573249295 37.42287268042935, 127.08512050132639 37.42263981724227, 127.08461950091561 37.42240786119172, 127.08440965076404 37.42215731681564, 127.08380397846956 37.422055766228986, 127.08366411105766 37.42194430350966, 127.08362884490265 37.42179591704825, 127.08383790311399 37.42118255323806, 127.08495483016719 37.420234930258715, 127.08535057646726 37.420178854503256, 127.08635131183064 37.41963918051302, 127.08685174720677 37.419509006871316, 127.0872238278994 37.419016286729104, 127.08737446071768 37.41838500837787, 127.08907589828151 37.419600478304, 127.08944901810165 37.42010119129031, 127.0895543199635 37.420473129861186, 127.08948494819185 37.42077952290729, 127.08971876036631 37.421735894044104, 127.09420099894304 37.42101731192694, 127.09442275043517 37.42142561767906, 127.0947142024966 37.42170436286866, 127.09534321065321 37.42200990335839, 127.09670595730844 37.42225064367308, 127.0971142541088 37.422649667251584, 127.09764634273947 37.422912780924506, 127.09818888774477 37.423040248858285, 127.10009240131045 37.423234947683476, 127.1009449162248 37.42274358140193, 127.10117275159631 37.42291200954738, 127.10108212770702 37.423109558208964, 127.10262405839468 37.42321980991606, 127.10263990763985 37.42426010471983, 127.10230564974897 37.42496265839589, 127.10239322023192 37.42632450336798, 127.10213504028033 37.42724895953988, 127.10261888842912 37.427475643994775, 127.10257750936519 37.427540657102156, 127.10275262339292 37.427630966035025, 127.10282434014086 37.42753858566379, 127.10315239630424 37.42768355400857, 127.10312182523782 37.42784889424583, 127.10352057622754 37.427868809408416, 127.1041568042069 37.42775310704046, 127.10451564625906 37.42756603363555, 127.10492836673417 37.42753930572849, 127.10496545585175 37.42747876471203, 127.10578903816159 37.427552004330096, 127.106311380258 37.42754130688726, 127.10654686926475 37.427453540274655, 127.11038817024703 37.42855192567349, 127.1107424275058 37.42854275960271, 127.11209227710255 37.42797507855092, 127.11238694700992 37.427988552400286, 127.11284683501803 37.428184040269535, 127.11291415062969 37.427655165000914, 127.11470785371006 37.42726254546177, 127.1148156175928 37.42650532435461, 127.11433924070566 37.42600110357271, 127.11459866316285 37.42486769286204, 127.11438693071433 37.42428773256599, 127.11440501657951 37.42410089531861, 127.11778605287363 37.42219840474055)))"
4113351000,성남동,41133,성남시 중원구,"MULTIPOLYGON (((127.14450735035048 37.43951938396062, 127.14474433305101 37.43933074472837, 127.1457320287888 37.437747483345994, 127.14794135944223 37.43464794644856, 127.14848521827835 37.434299876677606, 127.14846806392814 37.43350624668966, 127.14812486786599 37.43309773083583, 127.14748668852216 37.43263922170402, 127.14706632755762 37.43252862853391, 127.14677113463635 37.43265265183184, 127.14619540625118 37.432542063047975, 127.14591523644951 37.432244377657796, 127.14538619854704 37.43222028597349, 127.14530830094907 37.432145947397046, 127.14425071875122 37.43196147339365, 127.14365890158525 37.43165195493558, 127.14305162109946 37.43118125567282, 127.14232054448101 37.43107064901349, 127.14242866439405 37.43072339357638, 127.14287873317838 37.43017699793515, 127.14259822525189 37.42987986540094, 127.14258212285885 37.429681512650674, 127.14178661652143 37.429493844000305, 127.14111846686029 37.42854230879114, 127.13791743139038 37.42992246717493, 127.13463445883825 37.42895914883578, 127.13237973468019 37.4288868937021, 127.1293954031148 37.429833076555994, 127.12959509623725 37.42831961549612, 127.12931517056961 37.42828264069983, 127.12861380969925 37.427378097577304, 127.12864073201708 37.426851731245584, 127.12890721589855 37.42624941097115, 127.12883370087911 37.424027724636346, 127.1288234002229 37.422690117916666, 127.12862702015667 37.422635733871445, 127.12813484917154 37.42272728666647, 127.12648937053469 37.42341461775484, 127.12531696685284 37.42379849253083, 127.12497237936422 37.42422339206509, 127.12435333299995 37.424779734291974, 127.12394649444917 37.424848810578396, 127.12376347848735 37.42501133891375, 127.12313197920372 37.42527135294273, 127.12283583874866 37.42547584291108, 127.12254260446771 37.42552153959054, 127.12229275626042 37.42575284115323, 127.12135914537299 37.42560793968828, 127.12120952846944 37.42575156406789, 127.12092397681769 37.426530560623846, 127.12070172027434 37.42687751260451, 127.12044571314867 37.42715156535288, 127.11985938583663 37.427531853365245, 127.11984992183395 37.42788826971726, 127.11951638873322 37.42781651983589, 127.11929612215332 37.4275699025407, 127.11881285834801 37.427530262926595, 127.11857906844298 37.427413635950195, 127.11848470738924 37.426757404259355, 127.11816764559028 37.42651569583001, 127.11793113500326 37.42651111727789, 127.11778572557294 37.42738013173748, 127.11786362566819 37.42838597073102, 127.11827514411026 37.42933628808259, 127.11873661796123 37.43012253016111, 127.11836231232387 37.43045595669856, 127.11838951098616 37.43232475556501, 127.11876248283755 37.43228698505774, 127.11949372301203 37.43247207602127, 127.12022466743203 37.432471315171796, 127.1222777427773 37.43270506482966, 127.12513942107508 37.43285070572373, 127.13467173051323 37.43465645256521, 127.13680697377579 37.43509385344075, 127.14099213339105 37.43751100865861, 127.14450735035048 37.43951938396062)))"
4113566200,금곡동,41135,성남시 분당구,"MULTIPOLYGON (((127.07847865762497 37.372757785670444, 127.07891989601791 37.37181621137466, 127.07970941116209 37.37147768672979, 127.08109499253665 37.371705265806824, 127.08297430584966 37.373403156721174, 127.08985693092566 37.375162094868635, 127.09384242270619 37.37599968035416, 127.09859365794057 37.37577631005103, 127.101823398039 37.376650675476775, 127.10241447421377 37.37626037090057, 127.10345333193477 37.376104917178665, 127.10347017371829 37.37260942149843, 127.10378789809658 37.368495016697516, 127.10451892728554 37.36587783913914, 127.10453593649376 37.364087632183065, 127.1042158204522 37.36258322368763, 127.10355364683835 37.36184101782495, 127.10364444158553 37.35663120130765, 127.10836953223402 37.35663419287823, 127.10850949679563 37.35664087794333, 127.11120199997306 37.35676585892491, 127.11167558748302 37.35731907020646, 127.11365660941034 37.35591188773632, 127.11368078330841 37.35577577983977, 127.11750943568366 37.35370089383307, 127.11525419311005 37.35103714190879, 127.11471761254906 37.350502620909076, 127.11447085948228 37.3503391459704, 127.11372410040741 37.35007224809504, 127.11344320139469 37.35002340283599, 127.10766376330247 37.35000085332272, 127.1033703203265 37.35006981083975, 127.10336748890276 37.34742680030003, 127.1025268424222 37.34743845720534, 127.10234603947819 37.34704117319775, 127.10178487510454 37.34647824961851, 127.10113357765594 37.34696946924376, 127.09571829268347 37.34798478133679, 127.09521702244278 37.348667466626594, 127.09510684115023 37.34897299318778, 127.09509897081736 37.34939418909909, 127.09519323788395 37.350004829153065, 127.09570125343393 37.3516165754257, 127.09340110303243 37.35423128140775, 127.09263477464685 37.357620802227764, 127.09240851861601 37.358043140284614, 127.09211314900313 37.35834555501283, 127.09122941830157 37.358585449059525, 127.0901503108726 37.358674033219216, 127.08933952274532 37.35894882696775, 127.08903045188958 37.35915764143636, 127.08813096185034 37.360233144824115, 127.08749238745949 37.36070523703076, 127.08464567019541 37.36203095239759, 127.08399206461375 37.363360624352, 127.0826998162263 37.363476774957626, 127.0810006536652 37.36476397593055, 127.08043023994863 37.36504958406034, 127.07853427002722 37.36551749095497, 127.07751664429034 37.36879231220588, 127.07706630648161 37.371169903018085, 127.07800967155558 37.37169593277593, 127.07795387131452 37.37250872115599, 127.07847865762497 37.372757785670444)))"
4117152000,안양2동,41171,안양시 만안구,"MULTIPOLYGON (((126.91360643821342 37.41318579150787, 126.91531440758436 37.41408618174733, 126.91550212489464 37.41428838751452, 126.91564923466035 37.414589337558134, 126.9157313032707 37.415803703901965, 126.91604975217436 37.41641539876681, 126.91699990860445 37.41694445775782, 126.91876090438222 37.418192755531095, 126.91930995520559 37.41843317139937, 126.9199932864859 37.418566682892234, 126.92052478296733 37.418628411481585, 126.92103292646826 37.41800399147501, 126.92235020931912 37.417429176583425, 126.92253564767354 37.41715097301856, 126.92265276935576 37.416441328119795, 126.92298866637863 37.416108740000425, 126.92334934762796 37.41596841474004, 126.92549718610456 37.41552106935014, 126.92689729895882 37.41542057566674, 126.926522452826 37.41420243386572, 126.92604944537835 37.41308589673195, 126.9256976423391 37.41163988184571, 126.92753394348456 37.41065072242829, 126.92830905871195 37.41033336021717, 126.92778617327991 37.40885201104492, 126.92751645275322 37.407341979194356, 126.92823748947761 37.40494323822065, 126.92807820834524 37.40306420779378, 126.92755816772564 37.40198160209516, 126.92783994555208 37.40083248288475, 126.92460251551194 37.40338860454181, 126.92437599980519 37.40325870849728, 126.92307990186993 37.404147987046734, 126.92234366968573 37.40453831852008, 126.92170152804508 37.403853858304764, 126.9218416671047 37.40365577568008, 126.92166939727528 37.40358324712333, 126.92142589339865 37.40387612655022, 126.92094773188123 37.40354795098349, 126.92094113728923 37.40314579208767, 126.92065352342038 37.40284638205229, 126.92062405199664 37.40130642477867, 126.92048382231137 37.40106749015905, 126.91987630661775 37.4005066694448, 126.9180624595796 37.40272023434748, 126.91335643440617 37.40261968858591, 126.91326873498366 37.40449083793254, 126.91085511980579 37.408518924060466, 126.91285766283055 37.40903066149556, 126.91317563391007 37.412925597133984, 126.91360643821342 37.41318579150787)))"
